Date,Price,Open,High,Low,Vol.,CB_n330_Low,CB_n330_High,CB_n330_Avg,BCO_Close
1/9/2020,2.527,2.628,2.789,1.795,3160000,997,"1,101","1,049",42.3
1/10/2020,3.354,2.55,3.396,2.373,3130000,"1,036","1,144","1,090",37.94
1/11/2020,2.882,3.374,3.393,2.525,2510000,995,"1,099","1,047",47.88
1/12/2020,2.539,2.934,2.972,2.238,2970000,"1,022","1,126","1,074",51.82
1/1/2021,2.564,2.626,2.899,2.414,2450000,"1,040","1,150","1,095",55.04
1/2/2021,2.771,2.73,3.316,2.697,3300000,"1,075","1,189","1,132",64.42
1/3/2021,2.608,2.8,2.887,2.422,2140000,"1,119","1,237","1,178",62.74
1/4/2021,2.931,2.605,2.971,2.453,2140000,"1,171","1,295","1,233",66.76
1/5/2021,2.986,2.938,3.15,2.832,1810000,"1,189","1,311","1,250",68.95
1/6/2021,3.65,3.036,3.814,3.01,2730000,"1,196","1,318","1,257",74.62
1/7/2021,3.914,3.746,4.187,3.52,2290000,"1,213","1,341","1,277",75.41
1/8/2021,4.377,3.973,4.526,3.734,2600000,"1,256","1,388","1,322",71.63
1/9/2021,5.867,4.403,6.28,4.378,3510000,"1,267","1,399","1,333",78.31
1/10/2021,5.426,5.975,6.466,4.825,3310000,"1,262","1,392","1,327",83.72
1/11/2021,4.567,5.31,5.876,4.482,2700000,"1,324","1,464","1,394",69.23
1/12/2021,3.73,4.606,4.664,3.536,2540000,"1,407","1,555","1,481",77.35
1/1/2022,4.874,3.702,7.4,3.638,2370000,"1,391","1,537","1,464",89.26
1/2/2022,4.402,4.921,5.572,3.876,2550000,"1,336","1,476","1,406",97.97
1/3/2022,5.642,4.408,5.832,4.34,2170000,"1,454","1,608","1,531",104.71
1/4/2022,7.244,5.627,8.065,5.505,3000000,"1,512","1,672","1,592",107.14
1/5/2022,8.145,7.412,9.401,6.43,2220000,"1,661","1,835","1,748",115.6
1/6/2022,5.424,8.271,9.664,5.357,2630000,"1,656","1,830","1,743",109.03
1/7/2022,8.229,5.701,9.752,5.325,1810000,"1,724","1,906","1,815",103.97
1/8/2022,9.127,7.91,10.028,7.532,2029999,"1,717","1,899","1,808",95.64
1/9/2022,6.766,9.133,9.394,6.456,1970000,"1,600","1,768","1,684",85.14
1/10/2022,6.355,6.8,7.188,4.75,2009999,"1,601","1,770","1,686",92.81
1/11/2022,6.93,6.27,7.604,5.614,2120000,"1,411","1,559","1,485",86.97
1/12/2022,4.475,6.966,7.213,4.378,2360000,"1,312","1,450","1,381",85.65
1/1/2023,2.684,4.393,4.394,2.612,2120000,"1,750","1,934","1,842",85.46
1/2/2023,2.747,2.73,2.788,1.967,3020000,"1,662","1,836","1,749",83.45
1/3/2023,2.216,2.769,3.027,1.944,2810000,"1,590","1,758","1,674",79.89
1/4/2023,2.41,2.085,2.529,1.946,2900000,"1,598","1,766","1,682",80.33
1/5/2023,2.266,2.398,2.685,2.031,2620000,"1,633","1,805","1,719",72.6
1/6/2023,2.798,2.255,2.839,2.136,2920000,"1,717","1,897","1,807",75.41
1/7/2023,2.634,2.729,2.793,2.463,2080000,"1,657","1,831","1,744",85.43
1/8/2023,2.768,2.644,3.018,2.425,3090000,"1,712","1,892","1,802",86.83
